store_name,address_code,store_postcode,store_addr,store_city,store_town,store_dist
GS충주연수점,43130,27342,"충청북도 충주시 금곡로 55(연수동) GS더프레시 충주연수점 주차장 내",충청북도,충주시,
가든5라이프점,11710,05838,"서울특별시 송파구 충민로 66(문정동) 가든5라이프 지하 2층 주차장 내",서울특별시,송파구,
가락점(송파),11710,05706,"서울특별시 송파구 송이로21길 44(가락동)",서울특별시,송파구,
가산디지털단지점,11545,08504,"서울특별시 금천구 서부샛길 606(가산동) 대성디폴리스 지하 121호",서울특별시,금천구,
가오점,30110,34691,"대전광역시 동구 신기로 58(가오동)",대전광역시,동구,
강릉교동택지점,51150,25507,"강원특별자치도 강릉시 하슬라로 233(교동) GS칼텍스 주유소 내",강원특별자치도,강릉시,
강릉월드컵점,51150,25492,"강원특별자치도 강릉시 강릉대로313번길 60(포남동)",강원특별자치도,강릉시,
경산사동점,47290,38582,"경상북도 경산시 원효로 198(사동) 1층",경상북도,경산시,
경주점,47130,38062,"경상북도 경주시 충효녹지길 6(충효동)",경상북도,경주시,
계산신도시점,28245,21075,"인천광역시 계양구 봉오대로 942(서운동) GS칼텍스 주유소 내",인천광역시,계양구,
공주신관점,44150,32578,"충청남도 공주시 신금1길 44-24(신관동)",충청남도,공주시,
과학단지점,26440,46742,"부산광역시 강서구 과학산단로 297(지사동) GS칼텍스 주유소 내",부산광역시,강서구,
관산점,41281,10265,"경기도 고양시 덕양구 통일로 1032(관산동)",경기도,고양시,덕양구
광명점,41210,14285,"경기도 광명시 오리로 1017(광명동) 1층",경기도,광명시,
광양읍점,46230,57748,"전라남도 광양시 광양읍 용두길 100",전라남도,광양시,
광양점,46230,57777,"전라남도 광양시 오류로 74-1(중동) autoOasis 광양점",전라남도,광양시,
광주송정점,29200,62445,"광주광역시 광산구 송도로 172(도산동) (도산동)",광주광역시,광산구,
광진점,11215,04976,"서울특별시 광진구 자양로 222(구의동)",서울특별시,광진구,
구로그린점,11530,08301,"서울특별시 구로구 구로중앙로 76(구로동) GS칼텍스 주유소 내",서울특별시,구로구,
구리인창점,41310,11923,"경기도 구리시 응달말로 35-1(인창동)",경기도,구리시,
구암점,27230,41472,"대구광역시 북구 구암로 340(구암동)",대구광역시,북구,
구운점,41113,16410,"경기도 수원시 권선구 금호로 265(구운동)",경기도,수원시,권선구
구포점,26320,46504,"부산광역시 북구 사상로 619(구포동) SK주유소 내",부산광역시,북구,
군포당동점,41410,15874,"경기도 군포시 번영로 204(부곡동) GS칼텍스 주유소 내",경기도,군포시,
군포스타점,41410,15814,"경기도 군포시 고산로 688(산본동) GS칼텍스 주유소 내",경기도,군포시,
권선동점,41113,16553,"경기도 수원시 권선구 동수원로 258(권선동) GS칼텍스 주유소 내",경기도,수원시,권선구
금당점,46150,57982,"전라남도 순천시 해룡면 동명초등길 24 (상삼리)",전라남도,순천시,
기분좋은점,41111,16357,"경기도 수원시 장안구 서부로 2175(율전동) GS칼텍스 주유소 내",경기도,수원시,장안구
길동점,11740,05301,"서울특별시 강동구 명일로 273(길동)",서울특별시,강동구,
김천점,47150,39547,"경상북도 김천시 신기길 5(신음동)",경상북도,김천시,
김포한강신도시점,41570,10066,"경기도 김포시 김포한강3로 400(마산동) GS칼텍스 주유소 내",경기도,김포시,
남가좌점,11410,03694,"서울특별시 서대문구 가재울로 82(남가좌동)",서울특별시,서대문구,
남동점,41461,17059,"경기도 용인시 처인구 백옥대로 993(남동) GS칼텍스 주유소 내",경기도,용인시,처인구
남양점,41590,18269,"경기도 화성시 남양읍 남양로 561 신남리 69-4",경기도,화성시,
노은점,30200,34091,"대전광역시 유성구 노은동로75번길 26(노은동) 오토오아시스 노은점",대전광역시,유성구,
뉴오남점,41360,12036,"경기도 남양주시 오남읍 양지로 296",경기도,남양주시,
뉴장유점,48250,50994,"경상남도 김해시 덕정로 103(관동동) GS칼텍스 주유소 내",경상남도,김해시,
늘푸른점,43150,27154,"충청북도 제천시 청전대로 85(청전동)",충청북도,제천시,
능동점,41590,18422,"경기도 화성시 여울로3길 10(능동)",경기도,화성시,
다운점,31110,44409,"울산광역시 중구 다운8길 43(다운동)",울산광역시,중구,
다운타운점,31140,44721,"울산광역시 남구 꽃대나리로 21(달동)",울산광역시,남구,
단계점,51130,26423,"강원특별자치도 원주시 봉화로 44(단계동)",강원특별자치도,원주시,
달구벌대로점,27170,41872,"대구광역시 서구 달구벌대로 1845(내당동) GS칼텍스 주유소 내",대구광역시,서구,
당정마을점,41410,15851,"경기도 군포시 한세로4번길 6(당정동, 오성푸르메아파트)",경기도,군포시,
당정스타점,41410,15854,"경기도 군포시 고산로 109(당정동) GS칼텍스 주유소 내",경기도,군포시,
대구대곡점,27290,42839,"대구광역시 달서구 상화로 302(도원동) GS칼텍스 주유소 내",대구광역시,달서구,
대구대천점,27290,42760,"대구광역시 달서구 진천로 87(대천동)",대구광역시,달서구,
대구율하점(롯데마트),27140,41097,"대구광역시 동구 안심로 80(율하동) 롯데마트 대구율하점 3층 주차장 내",대구광역시,동구,
대구하이웨이점,27200,42460,"대구광역시 남구 성당로 156(대명동)",대구광역시,남구,
대림공단점,27290,42714,"대구광역시 달서구 달서대로 403(호림동) GS칼텍스 주유소 내",대구광역시,달서구,
대산점,44210,31912,"충청남도 서산시 대산읍 망일산로 6 (영탑리)",충청남도,서산시,
대성1점,11230,02566,"서울특별시 동대문구 고산자로 405(용두동) GS칼텍스 주유소 내",서울특별시,동대문구,
대영점,26500,48227,"부산광역시 수영구 수영로 731(수영동) GS칼텍스 주유소 내",부산광역시,수영구,
대잠점,47111,37834,"경상북도 포항시 남구 상도남로34번길 2(상도동) 4층",경상북도,포항시,남구
대전공단점,30230,34364,"대전광역시 대덕구 대전로 1285(대화동) GS칼텍스 주유소 내",대전광역시,대덕구,
대전용운점,30110,34653,"대전광역시 동구 용운로 99(용운동)",대전광역시,동구,
대전톨게이트점,30230,34419,"대전광역시 대덕구 동서대로 1762(비래동) GS칼텍스 주유소 내",대전광역시,대덕구,
덕이동점,41287,10228,"경기도 고양시 일산서구 덕이로 174(덕이동) GS칼텍스 주유소 내",경기도,고양시,일산서구
도룡점,30200,34121,"대전광역시 유성구 대덕대로590번길 12-6(도룡동) 도룡동",대전광역시,유성구,
도루코점,11200,04787,"서울특별시 성동구 아차산로 180(성수동2가) GS칼텍스 주유소 내",서울특별시,성동구,
도안점,30200,34195,"대전광역시 유성구 원신흥남로42번길 19-33(원신흥동)",대전광역시,유성구,
돌산청솔점,46130,59769,"전라남도 여수시 돌산읍 강남8길 21 (우두리 1036-14)",전라남도,여수시,
"동두천 지행점",41250,11363,"경기도 동두천시 평화로 2258(지행동) 오토오아시스 동두천지행점",경기도,동두천시,
동방점,41220,17719,"경기도 평택시 경기대로 1624(신장동) GS칼텍스 주유소 내",경기도,평택시,
동백제일점,41463,17001,"경기도 용인시 기흥구 평촌3로 5-19(동백동)",경기도,용인시,기흥구
동서변점,27230,41412,"대구광역시 북구 동변로24길 16(동변동)",대구광역시,북구,
동양7점,28237,21419,"인천광역시 부평구 경인로 1130(일신동) GS칼텍스 주유소 내",인천광역시,부평구,
동탄2신도시점,41590,18486,"경기도 화성시 동탄대로14길 5-29(오산동) 오토오아시스동탄2신도시점",경기도,화성시,
동탄신도시점,41590,18383,"경기도 화성시 효행로 1293(반월동) GS칼텍스 주유소 내",경기도,화성시,
동탄장지점,41590,18504,"경기도 화성시 동탄대로4길 136-18(장지동) 1층 101호",경기도,화성시,
동편점,41173,13930,"경기도 안양시 동안구 동편로184번길 19-3(관양동)",경기도,안양시,동안구
락성점,11620,08793,"서울특별시 관악구 남부순환로 1920(봉천동) GS칼텍스 주유소 내",서울특별시,관악구,
로타리점,51170,25771,"강원특별자치도 동해시 동굴로 89(천곡동) 오토오아시스",강원특별자치도,동해시,
"롯데마트 거제점",48310,53227,"경상남도 거제시 서간도길 9-9(옥포동, 거제엘크루랜드마크,롯데마트) 롯데마트 거제점 1층 주차장 내",경상남도,거제시,
"롯데마트 계양점",28245,21060,"인천광역시 계양구 장제로 822(계산동) 롯데마트 계양점 5층 주차장 내",인천광역시,계양구,
"롯데마트 고양점",41281,10495,"경기도 고양시 덕양구 충장로 150(행신동) 롯데마트 고양점 4층 주차장 내",경기도,고양시,덕양구
"롯데마트 구리점",41310,11915,"경기도 구리시 동구릉로136번길 57(인창동) 엘마트 구리점 1층 주차장 내",경기도,구리시,
"롯데마트 구미점",47190,39255,"경상북도 구미시 구미대로22길 11(신평동) 롯데마트 구미점 3층 주차장 내",경상북도,구미시,
"롯데마트 군산점",45130,54091,"전라북도 군산시 수송로 185(수송동) 롯데마트 군산점 5F 주차장내",전라북도,군산시,
"롯데마트 남원점",45190,55726,"전라북도 남원시 춘향로 96(향교동) 롯데마트 남원점 2층 주차장 내",전라북도,남원시,
"롯데마트 대덕점",30200,34017,"대전광역시 유성구 테크노중앙로 14(관평동) 롯데마트 대덕점 3층 주차장 내",대전광역시,유성구,
"롯데마트 동두천점",41250,11355,"경기도 동두천시 평화로2169번길 21(송내동) 롯데마트 동두천점 3층 주자장 내",경기도,동두천시,
"롯데마트 동래점",26260,47727,"부산광역시 동래구 중앙대로 1393(온천동) 롯데마트 동래점 M3F 주차장 내",부산광역시,동래구,
"롯데마트 목포점",46110,58748,"전라남도 목포시 원형서로 15(상동) 롯데마트맥스 목포점 4층 주차장 내",전라남도,목포시,
"롯데마트 부평점",28237,21362,"인천광역시 부평구 마장로 296(산곡동) 롯데마트 부평점 4층 주차장내",인천광역시,부평구,
"롯데마트 사상점",26530,47032,"부산광역시 사상구 낙동대로 733(엄궁동) 롯데마트 사상점 4층 주차장 내",부산광역시,사상구,
"롯데마트 사하점",26380,49472,"부산광역시 사하구 을숙도대로 610(장림동) 롯데마트 사하점 3F 주차장 내",부산광역시,사하구,
"롯데마트 상무점",29140,61948,"광주광역시 서구 시청로 40(치평동) 롯데마트 상무점 4층 주차장 내",광주광역시,서구,
"롯데마트 성정점",44133,31109,"충청남도 천안시 서북구 성정두정로 1(성정동) 롯데마트 성정점 3층 주차장 내",충청남도,천안시,서북구
"롯데마트 수완점",29200,62225,"광주광역시 광산구 장신로 98(장덕동) 롯데마트 광주수완점 4층 주차장 내",광주광역시,광산구,
"롯데마트 시화점",41390,15079,"경기도 시흥시 마유로238번길 26(정왕동) 롯데마트 시화점 2층 주차장 내",경기도,시흥시,
"롯데마트 시흥점",41390,14912,"경기도 시흥시 비둘기공원로 28(대야동) 롯데마트 시흥점 3층 주차장 내",경기도,시흥시,
"롯데마트 신마산점",48125,51744,"경상남도 창원시 마산합포구 신마산시장길 33(창포동3가) 롯데마트 마산점 3층 주차장 내",경상남도,창원시,마산합포구
"롯데마트 영종도점",28110,22371,"인천광역시 중구 흰바위로 51(운서동) 롯데마트 영종도점 4층 주차장 내",인천광역시,중구,
"롯데마트 오산점",41370,18135,"경기도 오산시 경기대로 271(오산동) 롯데마트 오산점 3층 주차장 내",경기도,오산시,
"롯데마트 웅상점",48330,50529,"경상남도 양산시 삼호1길 34(삼호동) 롯데마트 웅상점 3층 주차장 내",경상남도,양산시,
"롯데마트 의왕점",41430,16036,"경기도 의왕시 계원대학로 7(내손동) 롯데마트 의왕점 3층 주차장 내",경기도,의왕시,
"롯데마트 익산점",45140,54545,"전라북도 익산시 무왕로 1053(영등동) 롯데마트 익산점 4F 주차장내",전라북도,익산시,
"롯데마트 장유점",48250,51004,"경상남도 김해시 번화1로56번길 15(대청동) 롯데마트 장유점 3층 주차장 내",경상남도,김해시,
"롯데마트 전주점",45111,54966,"전라북도 전주시 완산구 우전로 240(효자동2가) 롯데마트 전주점 3층 주차장 내",전라북도,전주시,완산구
"롯데마트 주엽점",41287,10379,"경기도 고양시 일산서구 중앙로 1496(주엽동) 롯데마트 주엽점 지하 2층 주차장 내",경기도,고양시,일산서구
"롯데마트 진장점",31200,44248,"울산광역시 북구 진장유통로 64(진장동) 롯데마트 진장점 3층 주차장 내",울산광역시,북구,
"롯데마트 진해점",48129,51658,"경상남도 창원시 진해구 진해대로 762(석동) 롯데마트 진해점 4층 주차장 내",경상남도,창원시,진해구
"롯데마트 천천점",41111,16329,"경기도 수원시 장안구 만석로19번길 25-10(천천동) 롯데마트 천천점 4층 주차장내",경기도,수원시,장안구
"롯데마트 춘천점",51110,24364,"강원특별자치도 춘천시 방송길 84(온의동) 롯데마트 춘천점 3층 주차장 내",강원특별자치도,춘천시,
"롯데마트 충주점",43130,27360,"충청북도 충주시 봉계1길 49 충주공용버스터미널 롯데마트 충주점 1F 주차장내",충청북도,충주시,
"롯데마트 통영점",48220,53036,"경상남도 통영시 무전대로 65(무전동) 롯데마트 통영점 3층 주차장 내",경상남도,통영시,
"롯데마트 화명점",26320,46525,"부산광역시 북구 화명대로 47(화명동) 롯데마트 화명점 3층 주차장 내",부산광역시,북구,
"롯데마트 화정점",41281,10500,"경기도 고양시 덕양구 화중로 66(화정동) 롯데마트 화정점 2층 주차장 내",경기도,고양시,덕양구
"롯데몰 수원점",41113,16621,"경기도 수원시 권선구 세화로 134(서둔동) 롯데몰 수원점 지하 1층 주차장 내",경기도,수원시,권선구
"롯데몰 은평점",11380,03306,"서울특별시 은평구 통일로 1050(진관동) 롯데몰 은평점 5층 주차장 내",서울특별시,은평구,
롯데몰김포공항점,11500,07505,"서울특별시 강서구 하늘길 지하 77(방화동) 롯데몰 김포공항점 P1층 B19열",서울특별시,강서구,
마산월드점,48125,51713,"경상남도 창원시 마산합포구 해안대로 390(오동동) GS칼텍스 주유소 내",경상남도,창원시,마산합포구
마전점,28260,22677,"인천광역시 서구 원당대로 672(당하동) GS칼텍스 주유소 내",인천광역시,서구,
마창점,48127,51355,"경상남도 창원시 마산회원구 팔용로 107(합성동) GS칼텍스 주유소 내",경상남도,창원시,마산회원구
만수점,28200,21593,"인천광역시 남동구 장승남로81번길 31(만수동)",인천광역시,남동구,
망포점,41117,16685,"경기도 수원시 영통구 태장로7번길 6(망포동)",경기도,수원시,영통구
매곡점,31200,44215,"울산광역시 북구 신기12길 6(매곡동)",울산광역시,북구,
매월점,29140,62054,"광주광역시 서구 풍암신흥로50번길 3-12(풍암동)",광주광역시,서구,
"메가마트 기장점",26710,46048,"부산광역시 기장군 일광읍 기장대로 673 메가마트 기장점 2층 주차장 내",부산광역시,기장군,
"메가마트 김해점",48250,50935,"경상남도 김해시 김해대로2492번길 20(삼정동) 메가마트 김해점 3층 주차장 내",경상남도,김해시,
"메가마트 남천점",26500,48313,"부산광역시 수영구 황령대로 521(남천동) 메가마트 남천점 3층 주차장 내",부산광역시,수영구,
면목점,11260,02200,"서울특별시 중랑구 겸재로 258(면목동)",서울특별시,중랑구,
목내점,41273,15609,"경기도 안산시 단원구 목내로 45(목내동) 오토오아시스목내점",경기도,안산시,단원구
무거점,31140,44636,"울산광역시 남구 눌재로 1(무거동)",울산광역시,남구,
문경점,47280,36950,"경상북도 문경시 신흥로 13(모전동)",경상북도,문경시,
문래점,11560,07291,"서울특별시 영등포구 문래북로 49-1(양평동1가)",서울특별시,영등포구,
문성(대경)점,47190,39146,"경상북도 구미시 고아읍 들성로 269 GS칼텍스 주유소 내",경상북도,구미시,
문현점,26290,48416,"부산광역시 남구 문현로 5(문현동) autoOasis 문현점",부산광역시,남구,
물금신도시점,48330,50603,"경상남도 양산시 물금읍 가촌로 30-23 (가촌리) autoOasis 물금신도시점",경상남도,양산시,
미아점,11305,01167,"서울특별시 강북구 삼양로 226(미아동)",서울특별시,강북구,
바이오1점,43114,28125,"충청북도 청주시 청원구 오창읍 과학산업3로 202-12 GS칼텍스 주유소 내",충청북도,청주시,청원구
바이오2점,43114,28118,"충청북도 청주시 청원구 오창읍 양청송대길 4 GS칼텍스 주유소 내",충청북도,청주시,청원구
반구점,31110,44516,"울산광역시 중구 해오름17길 17(남외동)",울산광역시,중구,
방이점,11710,05630,"서울특별시 송파구 백제고분로50길 22(방이동, 주함위너스Ⅰ)",서울특별시,송파구,
배꽃나라점,11350,01803,"서울특별시 노원구 화랑로 466(공릉동) GS칼텍스 주유소 내",서울특별시,노원구,
배방점,44200,31485,"충청남도 아산시 배방읍 북수서로 41 (북수리)오토오아시스 배방점",충청남도,아산시,
백일점,29140,62024,"광주광역시 서구 화정로 68(쌍촌동) autoOasis 백일점",광주광역시,서구,
"범물동점(구,황금점)",27260,42212,"대구광역시 수성구 용학로44길 57(지산동)",대구광역시,수성구,
범어점,48330,50597,"경상남도 양산시 물금읍 동중3길 3",경상남도,양산시,
보령점,44180,33430,"충청남도 보령시 대청로 137(동대동)",충청남도,보령시,
보문점,11290,02859,"서울특별시 성북구 보문로 38(보문동7가)",서울특별시,성북구,
본오점,41271,15571,"경기도 안산시 상록구 본오로 9(본오동)",경기도,안산시,상록구
부산거제점,26470,47546,"부산광역시 연제구 거제천로 57-1(거제동)",부산광역시,연제구,
부암점,11110,03021,"서울특별시 종로구 자하문로 275(부암동)",서울특별시,종로구,
부평삼산점,28237,21344,"인천광역시 부평구 길주로 623(삼산동) 대덕리치아노 롯데마트 지하3층",인천광역시,부평구,
부흥로점,28237,21352,"인천광역시 부평구 장제로 200(부평동) GS칼텍스 주유소 내",인천광역시,부평구,
"분당 금곡점",41135,13560,"경기도 성남시 분당구 불정로 1(정자동) GS칼텍스 주유소 내",경기도,성남시,분당구
분당대일점,41135,13496,"경기도 성남시 분당구 양현로 312(야탑동) GS칼텍스 주유소 내",경기도,성남시,분당구
분당동화점,41135,13605,"경기도 성남시 분당구 돌마로 176(정자동) GS칼텍스 주유소 내",경기도,성남시,분당구
비아매일점,29200,62237,"광주광역시 광산구 비아로 40(도천동)",광주광역시,광산구,
비치점,26290,48523,"부산광역시 남구 용호로 60(용호동) autoOasis 비치점",부산광역시,남구,
"빅마켓 금천점",11545,08524,"서울특별시 금천구 두산로 71(독산동) 빅마켓 금천점 4층 주차장 내",서울특별시,금천구,
"빅마켓 영등포점",11560,07228,"서울특별시 영등포구 영중로 125(영등포동8가) 빅마켓 영등포점 3층 주차장 내",서울특별시,영등포구,
사곡상모점,47190,39326,"경상북도 구미시 상사서로 196(사곡동)",경상북도,구미시,
사당점,11590,07004,"서울특별시 동작구 사당로17길 53(사당동)",서울특별시,동작구,
사파점,48123,51448,"경상남도 창원시 성산구 창이대로706번길 3-1(사파동) autoOasis 사파점",경상남도,창원시,성산구
산격점,27230,41540,"대구광역시 북구 연암로 80(산격동)",대구광역시,북구,
상인점,27290,42814,"대구광역시 달서구 상화북로 196(상인동, 상인제림아파트) 제림상가 105-103",대구광역시,달서구,
서문점,47111,37906,"경상북도 포항시 남구 오천읍 해병로 221 GS칼텍스 주유소 내",경상북도,포항시,남구
서부점,29200,62373,"광주광역시 광산구 금봉로 85(우산동)",광주광역시,광산구,
서산늘푸른점,44210,31997,"충청남도 서산시 고운로 6-7(예천동) 오토오아시스 서산늘푸른점",충청남도,서산시,
서울역사점,11140,04509,"서울특별시 중구 한강대로 405(봉래동2가) 롯데마트 서울역점 4층 주차장 내",서울특별시,중구,
서일대점,11260,02202,"서울특별시 중랑구 상봉로 19(면목동)",서울특별시,중랑구,
서청주점,43114,28484,"충청북도 청주시 청원구 교서로 213(우암동)",충청북도,청주시,청원구
서호점,11470,07904,"서울특별시 양천구 남부순환로 317(신월동) GS칼텍스 주유소 내",서울특별시,양천구,
석적점,47850,39839,"경상북도 칠곡군 석적읍 유학로 2",경상북도,칠곡군,
선암점,29200,62397,"광주광역시 광산구 어등대로459번길 17(선암동) autoOasis 선암점",광주광역시,광산구,
선장사거리점,44200,31546,"충청남도 아산시 선장면 아산만로 548 (선창리)",충청남도,아산시,
성남제일점,41131,13308,"경기도 성남시 수정구 성남대로 1268(태평동) GS칼텍스 주유소 내",경기도,성남시,수정구
성내점,11740,05385,"서울특별시 강동구 올림픽로 578(성내동) GS칼텍스 주유소 내",서울특별시,강동구,
성서점,27290,42703,"대구광역시 달서구 달구벌대로 1270(이곡동) GS칼텍스 주유소 내",대구광역시,달서구,
성암점,29155,61740,"광주광역시 남구 송암로 40(송하동) autoOasis 성암점",광주광역시,남구,
성원점,27200,42499,"대구광역시 남구 대명서로 85(대명동)",대구광역시,남구,
성은점,26530,47033,"부산광역시 사상구 강변대로 458(엄궁동)",부산광역시,사상구,
성화점(구.우암점),43112,28639,"충청북도 청주시 서원구 신성화로34번길 1-1(성화동)",충청북도,청주시,서원구
세교점,41220,17849,"경기도 평택시 동삭로 224(세교동) GS칼텍스 주유소 내",경기도,평택시,
"세이브존 성남점",41131,13272,"경기도 성남시 수정구 산성대로 337(신흥동)",경기도,성남시,수정구
소래포구점,28200,21669,"인천광역시 남동구 소래역동로 5-2(논현동) 방옥빌딩",인천광역시,남동구,
소호점,46130,59665,"전라남도 여수시 소호로 520(소호동)",전라남도,여수시,
송도점,28185,21998,"인천광역시 연수구 하모니로 128(송도동) GS칼텍스 주유소 내",인천광역시,연수구,
수완셀프점,29200,62306,"광주광역시 광산구 장신로 152(수완동) GS칼텍스 주유소 내",광주광역시,광산구,
수지점,41465,16846,"경기도 용인시 수지구 수지로 164(풍덕천동) GS칼텍스 주유소 내",경기도,용인시,수지구
수지풍덕천점,41465,16832,"경기도 용인시 수지구 수지로 350(풍덕천동) GS칼텍스 주유소 내",경기도,용인시,수지구
스마트점,45113,54817,"전라북도 전주시 덕진구 동부대로 786(호성동1가) GS칼텍스 주유소 내",전라북도,전주시,덕진구
